學年,學期,開課代碼,課程名稱,必/選/通,學分,成績,備註
108,1,00UA734,國文（一）,必修,2.0,A-,
108,1,00UB7A3,英文（一）,必修,2.0,A,
108,1,00UP001,體育,必修,1.0,B+,另計
108,1,05UG002,科學思維,通識,2.0,A-,
108,1,0SUG531,大學入門,通識,2.0,A+,
108,1,GEU0011,臺灣地理,必修,3.0,A,
108,1,GEU0046,地質學,選修,3.0,A-,
108,1,GEU0047,氣象學,選修,3.0,C-,
108,1,GEU0167,計量地理,必修,3.0,A-,
108,1,GEU0233,地學通論（一）,必修,2.0,A-,
108,1,GEU0234,地學通論（二）,必修,2.0,B,
108,1,GEU0237,地景圖學,選修,3.0,A+,
108,2,00UA834,國文（二）,必修,2.0,B,
108,2,00UB8A3,英文（二）,必修,2.0,A-,
108,2,00UP125,體育（爵士舞初級）,必修,1.0,A,另計
108,2,06UG003,地震防災概論,通識,2.0,A-,
108,2,0HUG250,古典詩詞賞析,通識,2.0,A-,
108,2,GEU0001,地形學,必修,3.0,C+,
108,2,GEU0014,世界地理,必修,3.0,A-,
108,2,GEU0086,環境生態學,選修,3.0,B-,
108,2,GEU0136,氣候學,必修,3.0,A-,
110,1,00UB9K1,英文（三）：學術英文（閱讀與寫作）,必修,2.0,C-,
110,1,00UP148,體育（定向越野）,必修,1.0,A-,另計
110,1,03UG031,鑑識科學概論,通識,2.0,B+,
110,1,05UG011,科技倫理,通識,2.0,A-,
110,1,GEU0003,水文學,選修,3.0,B,
110,1,GEU0005,生物地理,選修,3.0,B+,
110,1,GEU0017,地圖學,必修,3.0,B-,
110,1,GEU0057,都市地理,必修,3.0,B,
110,1,GEU0166,地理資訊系統,必修,3.0,A-,
110,1,GEU0184,測量學,選修,3.0,A-,
110,1,PAU0026,藝術概論,必修,2.0,A,
110,2,00UP111,體育（桌球初級）,必修,1.0,A+,另計
110,2,0AUG402,心理學,通識,2.0,A+,
110,2,0SUG523,通識教育講座,通識,2.0,A,
110,2,GEU0006,經濟地理,必修,3.0,A,
110,2,GEU0016,地理統計,選修,3.0,A-,
110,2,GEU0033,臺灣氣候,選修,3.0,A-,
110,2,GEU0199,永續觀光管理,選修,3.0,A-,
110,2,GEU0228,進階地理資訊系統,選修,3.0,B-,
110,2,GEU0249,生物多樣性與保育概論,選修,3.0,停修,
111,1,01UG004,音樂鑑賞,通識,2.0,A-,
111,1,06UG004,星星月亮太陽－天文漫談,通識,2.0,停修,
111,1,CHU0340,兒童文學,選修,2.0,A,
111,1,GEU0068,美洲地理,選修,3.0,A,
111,1,GEU0118,地理思想,必修,3.0,A-,
111,1,GEU0230,環保行政學,選修,2.0,A+,
111,1,GEU0239,地理視覺化,選修,3.0,A+,
111,2,0000D02,初階服務學習－學務,必修,0.0,P,
111,2,00UP104,體育（籃球初級）,必修,1.0,A+,另計
111,2,GEU0073,遙測學,選修,3.0,A+,
111,2,GEU0079,地理資訊應用,選修,3.0,A+,
111,2,GEU0152,數值地形分析,選修,2.0,A+,
111,2,GEU0160,空間政治經濟學,選修,3.0,A-,
111,2,GEU0218,全球定位系統,選修,2.0,A-,
111,2,GEU0248,區位分析與選址,選修,3.0,A+,
111,2,PGU3004,空間資訊技術實務（一）,選修,3.0,,
